,一、乾為天──旱象逢河,二、坤為地──包容萬象,三、水雷屯──亂絲無頭,四、山水蒙──小鬼偷錢,五、水天需──明珠出土,六、天水訟──二人爭路,七、地水師──馬到成功,八、水地比──船得順風,九、風天小畜──密雲不雨,十、天澤履──行走薄冰,十一、地天泰──喜報三元,十二、天地否──虎落陷坑,十三、天火同人──仙人指路,十四、火天大有──金玉滿堂,十五、地山謙──二人分金,十六、雷地豫──青龍得位,十七、澤雷隨──推車靠崖,十八、山風蠱──百事不順,十九、地澤臨──發政施仁,二十、風地觀──接受觀摩,二十一、火雷噬嗑──餓虎飢食,二十二、山火賁──萌芽出土,二十三、山地剝──瑣碎事多,二十四、地雷復──夫妻反目,二十五、天雷無妄──宜守本分,二十六、山天大畜──陣勢得開,二十七、山雷頤──渭水訪賢,二十八、澤風大過──夜夢金銀,二十九、坎為水──水中撈月,三十、離為火──天官賜褔,三十一、澤山咸──山澤通氣,三十二、雷風恆──日月常明,三十三、天山遯──濃雲蔽日,三十四、雷天大壯──先曲後順,三十五、火地晉──鋤地得金,三十六、地火明夷──謹慎保守,三十七、風火家人──鏡中觀花,三十八、火澤睽──兩情相違,三十九、水山蹇──跛腳走路,四十、雷水解──困人出獄,四十一、山澤損──勞心苦戰,四十二、風雷益──枯木開花,四十三、澤天夬──遊蜂脫網,四十四、天風姤──他鄉遇友,四十五、澤地萃──大有斬獲,四十六、地風升──指日高昇,四十七、澤水困──守己待時,四十八、水風井──枯井生泉,四十九、澤火革──憂去喜來,五十、火風鼎──餓人饑食,五十一、震為雷──金鐘夜響,五十二、艮為山──安靜無虧,五十三、風山漸──飄浮不定,五十四、雷澤歸妹──浮雲蔽日,五十五、雷火豐──古鏡重明,五十六、火山旅──先甘後苦,五十七、巽為風──動極思靜,五十八、兌為澤──趁水和泥,五十九、風水渙──隔河望金,六十、水澤節──封神斬將,六十一、風澤中孚──謹慎保守,六十二、雷山小過──過獨木橋,六十三、水火既濟──金榜題名,六十四、火水未濟──憂中望喜,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,七十二天師：,,,,,,,,,,,
,　都天天師貫古今，祖德流芳萬萬年，,　都地天師潤人民，衣食豐饒永無虧，,　水雷天師萌生機，耐心修心發善心，,　山水天師教育家，有教無類皆平等，,　水天天師甘露霖，滋生養靈養自心，,　天水天師大慈悲，不忍眾生苦難受，,　地水天師修好合，能饒人時得饒人，,　水地天師相親輔，友愛誠信不欺凌，,　風天天師雲漸開，無影無遮光明來，,　天澤天師潤無邊，法筵如海普三千，,　地天天師天地交，喜報三元福延年，,　天地天師法無邊，光明不交地獄靈，,　天火天師照無碍，光芒四射天門開，,　火天天師滿天紅，光明無遮原來空，,　地山天師謙為上，勿忘山高山外人，,　雷地天師如青龍，一耀直上達雲霄，,　澤雷天師最精進，足涉污泥隨緣墜，,　山風天師內外異，外美內醜如蠱蟻，,　地澤天師如君臨，堂前萬民相拱扶，,　風地天師行萬里，暢行無阻觀民情，,　火雷天師居首位，柔中帶剛不離心，,　山火天師重內涵，表面裝身紙包火，,　山地天師勿貪進，知心知性勿攀緣，,　地雷天師勤修忍，一陽五陰好修行，,　天雷天師耀東北，電光通天南門角，,　山天天師最超凡，雲高深處不知寒，,　山雷天師勸世人，渭水訪賢多學道，,　澤風天師默默行，暢行法界無人認，,　都水天師潤萬物，不分貧富與貴賤，,　都火天師大慈悲，陽光普照大地春，,　澤山天師天竅穴，頂首光明無等輪，,　雷風天師光芒照，雨水交加不傷人，,　天山天師人撐天，左指天上見光明，,　雷天天師性如光，嫉惡如仇天地通，,　火地天師如淨土，凡塵雜草化琉璃，,　地火天師漸漸明，晦暗韜明不急進，,　風火天師一家春，六親堅守自分明，,　火澤天師歸自性，彌陀眾生兩界清，,　水山天師路難行，不貪不取身自輕，,　雷水天師最殊勝，滋潤萬物日日長，,　山澤天師損益平，有施有捨方有得，,　風雷天師利人天，布施三寶修善行，,　澤天天師無濁氣，身淨性淨真稀奇，,　天風天師雲無遮，萬里無雲見佛迹，,　澤地天師藏玄機，墾山鑿地成蓮池，,　地風天師如日昇，曙光升高放光明，,　澤水天師清中濁，法寶大道妙法好，,　水風天師古泉生，妙智妙用生妙法，,　澤火天師妙無邊，空中妙有實難言，,　火風天師滅塵埃，法界萬靈隨法開，,　都雷天師喚民心，法語滿天渡眾靈，,　都山天師堅如山，自性莊嚴如華嚴，,　風山天師遊法界，上下一炁益眾生，,　雷澤天師度有緣，回歸淨土西方境，,　雷火天師文昌公，智慧普照路一生，,　火山天師焚塵土，凡事慎重無諸苦，,　都風天師來如風，掃除業障禍不逢，,　都澤天師承萬生，滋生潤草亦濟靈，,　風水天師大慈悲，王侯將相須要伊，,　水澤天師如封神，斬妖除魔伏自身，,　風澤天師守誠信，不欺自心欺他心，,　雷山天師慎己修，天理彰顯無私偏，,　水火天師好修行，名利虛假宜認清，,　火水天師最調和，陰陽南北無差錯，,,,,,,,,,,,
,　天地立極是唯心，十道天心放光明。,　法雨長青無旱象，五穀豐登太平年。,　亂絲無頭慢思慮，用智用心厄皆除。,　宿世親友有情深，啟蒙事業最有恆。,　法雨加持永不停，啟示法輪漸漸興。,　甘露天降適天機，化解眾怨名天師。,　勿結惡緣惟上策，留得退路保無憂。,　人我相信諸緣生，共渡苦厄禍不侵。,　凡塵百事由身惹，放下惡念無罣碍。,　天光澤平映法界，見性自知証如來。,　認清自我修多少，保爾平安太平年。,　若有天地人立中，陰陽扭轉天地泰。,　南方大武卑南裁，方証萬靈崑崙來。,　一塵不染名清淨，原來法海性真空。,　自心內觀保安康，佛智生輝生此心。,　妙智聖心行善道，有恆善人必光明。,　若未識得真煩惱，何來煩惱証大道。,　木腐肉蝕自不知，敗露之時時晚矣。,　勿忘居高有危險，堅守臣位永無憂。,　生死有命各自修，富貴榮華了分明。,　頂上光明照清性，法緣無盡古至今。,　一旦紙破火舌出，蔓衍祖德最羞恥。,　踩穩堅石再昇前，萬丈山崕有何干。,　人人相處宜和睦，夫妻有情一家春。,　雙龍抱珠北極天，陰陽兩界本牽連。,　雖高無智有災難，速回本位基礎安。,　自我貢高最可憐，放下傲性可登天。,　只緣高山不知深，萬法行通如來境。,　平等甘露潤生機，調和生存滿滿是。,　有情無情從不分，只緣心善自光明。,　光中化佛無等數，佛智光明照天堂。,　堅心修行無差池，一超直上居天庭。,　右指天地皆調和，離世諸苦見彌陀。,　善人相助惡人去，堅守正念可成功。,　逆境精進必有福，指日可見極樂國。,　內修光明根為上，根旺莖強永不敗。,　父慈子孝家圓滿，幸福光明笑哈哈。,　有修無碍心安靈，無修煩惱染自性。,　一路盡頭方頓悟，修行生智永光明。,　眾生解除往昔苦，方証風水世間寶。,　勞辛苦戰有原因，無智不修苦年年。,　財施法施歡喜施，利人利己菩薩埵。,　雲游法界任汝去，遊蜂脫網消遙時。,　佛顏慈祥印心曹，証道見性剎那間。,　浮水蓮台滿滿是，家家有佛真妙理。,　萬物希望展生機，急功好義毋太急。,　財子兩全先修道，一日真証淨土果。,　甘泉滋潤我心田，堅定信心福綿綿。,　習性不淨難調理，惟心是宗萬萬年。,　心開意解無懷疑，自有貴人天上來。,　法脈如雷貫天耳，開法開悟自清靈。,　毅力不搖配天地，堅心精進登佛位。,　風大山在樹花開，滿山白花雪花齋。,　見佛見親悟凡心，原來天地一家親。,　自心自淨自精進，觀心自照自光明。,　堅心奉行諸善道，苦厄不染無操勞。,　人物仰仗風神力，自在長生並健康。,　腹大如海妙蓮台，苦樂無分大自在。,　販夫走卒不分離，堅守大愛萬萬年。,　三業無智必有錯，五關六將關關過。,　如履薄冰慎修行，六道不侵見自信。,　行善成佛惡墮落，天上地上一念間。,　反省懺悔往昔錯，當下見性幸福臨。,　若有凡夫悟此理，眼見耳聞皆是好。,,,,,,,,,,,
,　(男)天德天師德滿天，常臥法界法平等，(女)天樞天師轉天盤，七星墜地照三千，,　地坤天師度量大，山河大海皆包容，,,,,,,,,,,,,,,,,,,,,,,,,,,,　水坎天師多坎坷，宿世因果自牽連，,　火炎天師天官賜，離塵昇華福滿盈，,,,,,,,,,,,,,,,,,,,,,　雷震天師聲通天，金鍾夜響億萬年，,　艮山天師是華嚴，自性如山自清榮，,,,,,　風巽天師急風行，掃除塵埃成淨土，,　兌悅天師說萬法，口出蓮花利眾生，,,,,,,,,,,,,,,,,,
,　　　一畫開天二畫地，立基天下定太平。　　法脈延年古今天，吉凶禍福自因緣。,　萬生萬物藉此生，祖孫同堂卜其昌。,,,,,,,,,,,,,,,,,,,,,,,,,,,　怨命怨天無利益，修口修心厄不臨。,　三毒遠離苦不侵，心量包容照天明。,,,,,,,,,,,,,,,,,,,,,　隂晴日月無休止，直指人心見真性。,　土石堅硬如金剛，信念信心本如山。,,,,,　無染塵埃心自淨，和悅人間最光明。,　有緣有情皆說法，珍重生命登蓮池。,,,,,,,,,,,,,,,,,
,　　  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,序卦傳：,,,,,,,,,,,
,　有天地，然後萬物生焉，盈天地之間者唯萬物。,　有天地，然後萬物生焉，盈天地之間者唯萬物。,　屯者，盈也；屯者，物之始生也。,　物生必蒙，故受之以蒙。蒙者，蒙也，物之穉也。,　物穉不可不養也，故受之以需。需者，飲食之道也。,　飲食必有訟，故受之以訟。,　訟必有眾起，故受之以師。師者，眾也。,　師者，眾也。眾必有所比，故受之以比。比者，比也。,　比者，比也。比必有所畜，故受之以小畜。,　物畜然後有履，故受之以履。,　履而泰，然後安，故受之以泰。泰者，通也。,　泰者，通也。物不可以終通，故受之以否。,　物不可以終否，故受之以同人。,　與人同者，物必歸焉，故受之以大有。,　有大者不可以盈，故受之以謙。,　有大而能謙，必豫，故受之以豫。,　豫必有隨，故受之以隨。,　以喜隨人者必有事，故受之以蠱。蠱者，事也。,　蠱者，事也。有事而後可大，故受之以臨。臨者，大也。,　臨者，大也。物大然後可觀，故受之以觀。,　可觀而後有所合，故受之以噬嗑。嗑者，合也。,　嗑者，合也。物不可以苟合而已，故受之以賁。賁者，飾也。,　賁者，飾也。致飾然後亨，則盡矣，故受之以剝。剝者，剝也。,　剝者，剝也。物不可以終盡，剝窮上反下，故受之以復。,　复則不妄矣，故受之以無妄。,　有無妄然後可畜，故受之以大畜。,　物畜然後可養，故受之以頤。頤者，養也。,　頤者，養也；不養則不可動，故受之以大過。,　物不可以終過，故受之以坎；坎者，陷也。,　坎者，陷也。陷必有所麗，故受之以離。離者，麗也。,　男女之道，不能無感也，故受之以咸。咸者，感也。相感則為夫婦。,　咸者，感也，相感則為夫婦，夫婦之道不可以不久也。,　恆者，久也。物不可以久居其所，故受之以遯。遯者，退也。,　遯者，退也；物不可以終遯，故受之以大壯。,　物不可以終壯，故受之以晉。晉者，進也。,　晉者，進也；進必有所傷，故受之以明夷。夷者，傷也。,　夷者，傷也；傷於外者必反其家，故受之以家人。,　受之以家人。家道窮必乖，故受之以睽。睽者，乖也。,　睽者，乖也；乖必有難，故受之以蹇。蹇者，難也。,　蹇者，難也。物不可終難，故受之以解。解者，緩也。,　解者，緩也；緩必有所失，故受之以損。,　損而不已必益，故受之以益。,　益而不已必決，故受之以夬。夬者，決也。,　決必有所遇，故受之以姤。姤者，遇也。,　姤者，遇也。物相遇而後聚，故受之以萃。萃者，聚也。,　萃者，聚也。聚而上者謂之升，故受之以升。,　升而不已必困，故受之以困。,　困乎上者必反下，故受之以井。,　井道不可不革，故受之以革。,　革物者莫若鼎，故受之以鼎。,　主器者莫若長子，故受之以震。震者，動也。,　震者，動也。物不可以終動，止之，故受之以艮。艮者，止也。,　艮者，止也。物不可以終止，故受之以漸。漸者，進也。,　漸者，進也。進必有所歸，故受之以歸妹。,　得其所歸者必大，故受之以豐。豐者，大也。,　豐者，大也。窮大者必失其居，故受之以旅。,　旅而無所容，故受之以巽。巽者，入也。,　巽者，入也。入而後說之，故受之以兌。兌者，說也。,　兌者，說也。說而後散之，故受之以渙。渙者，離也。,　渙者，離也。物不可以終離，故受之以節。,　節而信之，故受之以中孚。,　節而信之，故受之以中孚。有其信者必行之，故受之以小過。,　受之以節。節而信之，有其信者必行之，故受之以小過。,　有過物者必濟，故受之既濟。物不可窮也，故受之以未濟終焉。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　故受之以恆。恆者，久也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　有過物者必濟，故受之既濟。,,,,,,,,,,,,
,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,唯心用易歌訣：,,,,,,,,,,,
,　乾卦財外莫遠求，勞心用智忌高估,　坤卦萬法悉歸藏，有財有福勤自耕,　水雷屯卦最艱苦，亂絲無頭勿急求,　山水蒙卦求財難，商場矇矓見不堪,　水天需卦天地財，手提皮包四處求,　天水訟卦多爭訟，破財多端全是非,　地水師卦宜團結，精誠所至財必來,　水地比卦要相親，財官相輔不如心,　風天小畜有雙財，四庫日月最堪栽,　天澤履財不明，步步謹慎正是根,　地天泰卦修行好，四庫無財亥子有,　天地否卦不交心，有財無庫慎己行,　天火同人仙指路，謹言慎行立秋財,　火天大有金滿堂，勤修勤讀智慧專,　地山謙卦謙者賢，修齋祈福保家康,　雷地豫卦財子壽，福分綿綿皆可求,　澤雷隨卦真辛苦，有財無庫自己度,　山風蠱卦財無庫，是非多端防爭訟,　地澤臨卦財生我，亥子季節見真財,　風地觀卦多觀察，有財無庫莫遠求,　火雷噬嗑人饑食，投資錢財路不歸,　山火賁卦重文飾，雙財無庫官非至,　山地剝卦步步艱，有財有庫勿攀緣,　地雷復卦重頭來，一五亥子是正財,　天雷無妄宜守分，四庫有財秋破財,　山天大畜陣勢開，一五財神亥子來,　山雷頤卦財無庫，四庫日月財神到,　澤風大過多美夢，天地有財四庫來,　坎卦水中撈明月，求財求貴皆白費,　離卦火炎燒財寶，經商投資勿顛倒,　澤山咸卦好修行，寅申酉月防失財,　雷風恆卦有財庫，心正念正財多多,　天山遯卦隱山林，無財無庫莫貪求,　雷天大壯曲後順，求財難得終無緣,　火地晉卦財無庫，大做少收虧成本,　地火明夷見光明，財伏難求勿強求,　風火家人亨財福，家和萬事皆如意,　火澤睽卦多反目，求財不得惹是非,　水山蹇卦修忍辱，兄弟義氣損財帛,　雷水解卦財庫天，四庫子午財連連,　山澤損卦心苦戰，有財無庫防破財,　風雷益卦是枯木，細心經商不託人,　澤天夬卦遊四方，雙財立冬運漸通,　天風姤卦貴人多，勞心勞力遊他鄉,　澤地萃卦要勤耕，天上賜財有福人,　地風升卦旭日昇，不急不躁四庫盈,　澤水困卦財庫全，五月有災八月來,　水風井卦居財位，經商投資重規範,　澤火革卦多耗財，勞勞碌碌財不來,　火風鼎卦財多多，卯酉有財雙喜臨,　震卦雙財雷大聲，寅申雷大會傷人,　艮卦如山修靜心，安靜無虧財清明,　風山漸卦慢慢南，有庫無財莫急求,　雷澤歸妹如浮雲，有財無庫多費心,　雷火豐卦鏡重明，充實智慧才聰明,　火山旅卦甘後苦，勤耕秋收財豐富,　巽卦如風空白忙，精打細算智為先,　兌卦修口勿妄語，財在他鄉莫遠求,　風水渙卦白日夢，無財無庫空勞碌,　水澤節卦財持世，春夏財旺靠智慧,　風澤中浮卦誠信，無財無庫勿強求,雷山小過最可憐，孤木難行又多險,　水火既濟卦無財，讀書智慧最殊勝,　火水未濟到山頂，一生辛苦終修行,,,,,,,,,,,
,　寅卯日月財可得，申酉四庫空操勞,　心量寬大防四庫，金木相剋亂糟糟,　有庫無財辰戌非，子午日月拖下水,　財伏劫神天地間，多讀聖書可心安,　天庫不開地庫鎖，勤儉持家福綿綿,　申金得財又失財，謹防夏天子月來,　冬冷出兵必受敗，四庫耗神午月開,　四庫阻礙待亥水，亂時把握見真財,　寅申卯酉表面化，勞心勞力身體垮,　四庫夏月勿貪求，秋冬好轉慢慢行,　寅申卯酉皆無利，慎修慎行災不臨,　寅卯得財申酉失，枉費計較半生求,　四月官非五月災，秋金四庫好運來,　春耕秋收冬隱藏，卯酉適時注意虛,　無財莫求心安祥，謙遜待人福綿綿,　卯酉寅申日月囚，識得天機富不休,　寅申之月防小人，萬事小心勿攀緣,　四庫有財宜夏至，寅卯申猴財寶失,　牛羊歲月檔財神，卯酉有災要小心,　表面貴人有欺心，四庫無情文書災,　四庫財旺抓機會，寅申卯酉有災非,　四庫寅申并卯酉，是非多端亥子求,　春冬財利見分明，四庫炎夏財不臨,　冬至財神來團圓，四庫寅申不堪栽,　子月庫破亥月災，凡事保守永無害,　謹防財得災非到，四庫破財寅申栽,　寅申來臨防劫財，讀書訪賢增智慧,　寅卯之月有亦無，知足常樂真自在,　四庫日月有災非，子午來臨跳陷阱,　秋財興旺在中秋，亥巳月衰防魔考,　勿貪勿求家安樂，夫妻全家笑哈哈,　卯月無福多口舌，申酉多端不貪求,　口舌官非難終止，惟從退隱勤修行,　四庫寅申宜戒慎，子午亥巳空歡喜,　巳亥月日防官非，偷雞不著倒吃米,　讀書考試有官貴，四庫歲月可題名,　卯酉身動慎防貪，夏月福德合家歡,　巳亥雙月藏官司，四庫春卯災禍至,　四庫貴友巳午仇，量力自保永安祥,　寅申之月防被騙，識得用易必安心,　寅申卯酉歲月臨，勤儉知足是根本,　寅申卯酉忌日月，四庫炎夏正逢時,　四庫寅卯月注意，謹防失財惹官災,　求財無望空勞碌，只緣無福該修心,　有修善士財滿貫，巳酉月令破財來,　秋霜謹防有陷阱，亥巳仇神又衝突,　春冬財旺是正時，守己待時財神來,　有財無庫知足樂，申酉子亥白忙茫,　四庫官非運難開，慎行不貪永無災,　巳亥月日表面財，信心智慧災不來,　夏雷正逢財入庫，四庫求財只一半,　春愁夏憂秋有災，亥子歲月財神來,　四庫卯酉難度日，巳午日月犯官災,　卯月有財但短促，寅申夏冬浮雲遮,　巳午炎財宜把握，逢虎捕牛空餘恨,　巳亥子五月不宜，堅持踏實好根基,　四庫有財嘴邊選，卯酉官司划不來,　申酉巳亥月令來，看有拿無空歡喜,　亥巳子午連連破，妄自誇大老來囚,　秋冬四庫最辛苦，修行為本正逢時,　卯酉歲月多災非，四庫歲月破財年,凡得本卦勿貪念，財庫不失好過年,　知足常樂年年春，謹防辰戌災非來,　秋財極旺好時機，成本計算勿失信,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,六沖卦,六沖卦,,,遊魂卦,遊魂卦,歸魂卦,歸魂卦,,,六合卦,六合卦,歸魂卦,歸魂卦,,六合卦,歸魂卦,歸魂卦,,,,六合卦,,六合卦,六沖卦,,遊魂卦,遊魂卦,六沖卦,六沖卦,,,,六沖卦,遊魂卦,遊魂卦,,,,,,,,,,,六合卦,,,,六沖卦,六沖卦,歸魂卦,歸魂卦,,六合卦,六沖卦,六沖卦,,六合卦,遊魂卦,遊魂卦,,,,,,,,,,,,,
,父戌　▄▄▄▄▄,孫酉　▄▄　▄▄,兄子　▄▄　▄▄,父寅　▄▄▄▄▄,財子　▄▄　▄▄,父子　▄▄▄▄▄,父酉　▄▄　▄▄,財子　▄▄　▄▄,兄卯　▄▄▄▄▄,兄戌　▄▄▄▄▄,孫酉　▄▄　▄▄,父戌　▄▄▄▄▄,孫戌　▄▄▄▄▄,官巳　▄▄▄▄▄,兄酉　▄▄　▄▄,財戌　▄▄　▄▄,財未　▄▄　▄▄,兄寅　▄▄▄▄▄,孫酉　▄▄　▄▄,財卯　▄▄▄▄▄,孫巳　▄▄▄▄▄,官寅　▄▄▄▄▄,財寅　▄▄▄▄▄,孫酉　▄▄　▄▄,孫巳　▄▄▄▄▄,官寅　▄▄▄▄▄,兄寅　▄▄▄▄▄,財未　▄▄　▄▄,兄子　▄▄　▄▄,兄巳　▄▄▄▄▄,父未　▄▄　▄▄,財戌　▄▄　▄▄,父戌　▄▄▄▄▄,兄戌　▄▄　▄▄,官巳　▄▄▄▄▄,父酉　▄▄　▄▄,兄卯　▄▄▄▄▄,父巳　▄▄▄▄▄,孫子　▄▄　▄▄,財戌　▄▄　▄▄,官寅　▄▄▄▄▄,兄卯　▄▄▄▄▄,兄未　▄▄　▄▄,父戌　▄▄▄▄▄,父未　▄▄　▄▄,官酉　▄▄　▄▄,父未　▄▄　▄▄,父子　▄▄　▄▄,官未　▄▄　▄▄,兄巳　▄▄▄▄▄,財戌　▄▄　▄▄,官寅　▄▄▄▄▄,官卯　▄▄▄▄▄,父戌　▄▄　▄▄,官戌　▄▄　▄▄,兄巳　▄▄▄▄▄,兄卯　▄▄▄▄▄,父未　▄▄　▄▄,父卯　▄▄▄▄▄,兄子　▄▄　▄▄,官卯　▄▄▄▄▄,父戌　▄▄　▄▄,兄子　▄▄　▄▄,兄巳　▄▄▄▄▄,,,,,,,,,,,
,兄申　▄▄▄▄▄,財亥　▄▄　▄▄,官戌　▄▄▄▄▄,官子　▄▄　▄▄,兄戌　▄▄▄▄▄,兄戌　▄▄▄▄▄,兄亥　▄▄　▄▄,兄戌　▄▄▄▄▄,孫巳　▄▄▄▄▄,孫申　▄▄▄▄▄,財亥　▄▄　▄▄,兄申　▄▄▄▄▄,財申　▄▄▄▄▄,父未　▄▄　▄▄,孫亥　▄▄　▄▄,官申　▄▄　▄▄,官酉　▄▄▄▄▄,父子　▄▄　▄▄,財亥　▄▄　▄▄,官巳　▄▄▄▄▄,財未　▄▄　▄▄,財子　▄▄　▄▄,孫子　▄▄　▄▄,財亥　▄▄　▄▄,財未　▄▄▄▄▄,財子　▄▄　▄▄,父子　▄▄　▄▄,官酉　▄▄▄▄▄,官戌　▄▄▄▄▄,孫未　▄▄　▄▄,兄酉　▄▄▄▄▄,官申　▄▄　▄▄,兄申　▄▄▄▄▄,孫申　▄▄　▄▄,父未　▄▄　▄▄,兄亥　▄▄　▄▄,孫巳　▄▄▄▄▄,兄未　▄▄　▄▄,父戌　▄▄▄▄▄,官申　▄▄　▄▄,財子　▄▄　▄▄,孫巳　▄▄▄▄▄,孫酉　▄▄▄▄▄,兄申　▄▄▄▄▄,兄酉　▄▄▄▄▄,父亥　▄▄　▄▄,兄酉　▄▄▄▄▄,財戌　▄▄▄▄▄,父酉　▄▄▄▄▄,孫未　▄▄　▄▄,官申　▄▄　▄▄,財子　▄▄　▄▄,父巳　▄▄▄▄▄,兄申　▄▄　▄▄,父申　▄▄　▄▄,孫未　▄▄　▄▄,孫巳　▄▄▄▄▄,兄酉　▄▄▄▄▄,兄巳　▄▄▄▄▄,官戌　▄▄▄▄▄,父巳　▄▄▄▄▄,兄申　▄▄　▄▄,官戌　▄▄▄▄▄,孫未　▄▄　▄▄,,,,,,,,,,,
,官午　▄▄▄▄▄,兄丑　▄▄　▄▄,父申　▄▄　▄▄,孫戌　▄▄　▄▄,孫申　▄▄　▄▄,孫申　▄▄▄▄▄,官丑　▄▄　▄▄,孫申　▄▄　▄▄,財未　▄▄　▄▄,父午　▄▄　▄▄,兄丑　▄▄　▄▄,官午　▄▄▄▄▄,兄午　▄▄▄▄▄,兄酉　▄▄▄▄▄,父丑　▄▄　▄▄,孫午　▄▄▄▄▄,父亥　▄▄▄▄▄,財戌　▄▄　▄▄,兄丑　▄▄　▄▄,父未　▄▄　▄▄,官酉　▄▄▄▄▄,兄戌　▄▄　▄▄,父戌　▄▄　▄▄,兄丑　▄▄　▄▄,官酉　▄▄▄▄▄,兄戌　▄▄　▄▄,財戌　▄▄　▄▄,父亥　▄▄▄▄▄,父申　▄▄　▄▄,財酉　▄▄▄▄▄,孫亥　▄▄▄▄▄,孫午　▄▄▄▄▄,官午　▄▄▄▄▄,父午　▄▄▄▄▄,兄酉　▄▄▄▄▄,官丑　▄▄　▄▄,財未　▄▄　▄▄,孫酉　▄▄▄▄▄,兄申　▄▄　▄▄,孫午　▄▄▄▄▄,兄戌　▄▄　▄▄,財未　▄▄　▄▄,父午　▄▄▄▄▄,官午　▄▄▄▄▄,孫亥　▄▄▄▄▄,財丑　▄▄　▄▄,孫亥　▄▄▄▄▄,官申　▄▄　▄▄,兄亥　▄▄▄▄▄,財酉　▄▄▄▄▄,孫午　▄▄▄▄▄,兄戌　▄▄　▄▄,兄未　▄▄　▄▄,官午　▄▄▄▄▄,財午　▄▄▄▄▄,財酉　▄▄▄▄▄,財未　▄▄　▄▄,孫亥　▄▄▄▄▄,孫未　▄▄　▄▄,父申　▄▄　▄▄,兄未　▄▄　▄▄,官午　▄▄▄▄▄,父申　▄▄　▄▄,財酉　▄▄▄▄▄,,,,,,,,,,,
